source,appendix,lake,station,season,sample_date_1971,depth_m,characteristic,value_as_printed,unit_as_printed,value_as_P,below_detection,not_determined,raw_text
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,2,APRIL,1971-04-13,25,NO3,0.04,mg/L,,FALSE,FALSE,0.04
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,2,APRIL,1971-04-13,25,TKN,0.54,mg/L,,FALSE,FALSE,0.54
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,2,APRIL,1971-04-13,25,o-PO4,0.09,mg/L as PO4,0.02935,FALSE,FALSE,0.09
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,2,APRIL,1971-04-13,25,t-PO4,0.29,mg/L as PO4,0.09459,FALSE,FALSE,0.29
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,2,APRIL,1971-04-13,25,SiO2,5.0,mg/L,,FALSE,FALSE,5.0
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,2,APRIL,1971-04-13,28,NO3,0.05,mg/L,,FALSE,FALSE,0.05
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,2,APRIL,1971-04-13,28,TKN,0.64,mg/L,,FALSE,FALSE,0.64
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,2,APRIL,1971-04-13,28,o-PO4,0.11,mg/L as PO4,0.03588,FALSE,FALSE,0.11
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,2,APRIL,1971-04-13,28,t-PO4,0.31,mg/L as PO4,0.10111,FALSE,FALSE,0.31
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,2,APRIL,1971-04-13,28,SiO2,5.3,mg/L,,FALSE,FALSE,5.3
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,2,JUNE,1971-06-16,1,NO3,0.01,mg/L,,TRUE,FALSE,<0.01
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,2,JUNE,1971-06-16,1,TKN,0.57,mg/L,,FALSE,FALSE,0.57
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,2,JUNE,1971-06-16,1,o-PO4,0.01,mg/L as PO4,0.00326,FALSE,FALSE,0.01
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,2,JUNE,1971-06-16,1,t-PO4,0.24,mg/L as PO4,0.07828,FALSE,FALSE,0.24
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,2,JUNE,1971-06-16,1,SiO2,3.9,mg/L,,FALSE,FALSE,3.9
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,2,JUNE,1971-06-16,5,NO3,0.01,mg/L,,TRUE,FALSE,<0.01
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,2,JUNE,1971-06-16,5,TKN,0.56,mg/L,,FALSE,FALSE,0.56
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,2,JUNE,1971-06-16,5,o-PO4,0.01,mg/L as PO4,0.00326,TRUE,FALSE,<0.01
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,2,JUNE,1971-06-16,5,t-PO4,0.11,mg/L as PO4,0.03588,FALSE,FALSE,0.11
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,2,JUNE,1971-06-16,5,SiO2,4.0,mg/L,,FALSE,FALSE,4.0
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,2,JUNE,1971-06-16,10,NO3,0.01,mg/L,,TRUE,FALSE,<0.01
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,2,JUNE,1971-06-16,10,TKN,0.36,mg/L,,FALSE,FALSE,0.36
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,2,JUNE,1971-06-16,10,o-PO4,0.02,mg/L as PO4,0.00652,FALSE,FALSE,0.02
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,2,JUNE,1971-06-16,10,t-PO4,0.16,mg/L as PO4,0.05219,FALSE,FALSE,0.16
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,2,JUNE,1971-06-16,10,SiO2,4.1,mg/L,,FALSE,FALSE,4.1
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,2,JUNE,1971-06-16,15,NO3,0.01,mg/L,,TRUE,FALSE,<0.01
